"CU","SMU","par","mean","median","lwr","upr","n_eff","R_hat"
"Kitsumkalum","Skeena","S.recent",5452.89044,5375.47492,4173.8237,6834.02186,NA,NA
"Large Lakes","Skeena","S.recent",10579.85032,10391.70476,8312.42823,13106.91054,NA,NA
"Lower Nass","Nass","S.recent",3365.63069,3337.38199,2767.40112,3990.39068,NA,NA
"Lower Skeena","Skeena","S.recent",1279.25952,1255.98849,999.61454,1589.65484,NA,NA
"Middle Skeena","Skeena","S.recent",3911.94038,3850.32205,3049.15307,4847.04444,NA,NA
"Nass Aggregate","Nass","S.recent",17050.63683,16962.57211,14786.6419,19437.24661,NA,NA
"Skeena Aggregate","Skeena","S.recent",26349.70744,25958.02736,20604.90593,32659.98349,NA,NA
"Upper Nass","Nass","S.recent",11599.20285,11535.6467,9999.4669,13296.90932,NA,NA
"Upper Skeena","Skeena","S.recent",1996.45385,1972.3389,1568.89407,2459.80681,NA,NA
"Zymoetz","Skeena","S.recent",942.05941,927.41262,733.23133,1169.40789,NA,NA
"Kitsumkalum","Skeena","Seq",17070.63875,15598.76674,11903.12575,23913.55835,NA,NA
"Large Lakes","Skeena","Seq",68467.6059,61186.08331,41492.7718,105454.40989,NA,NA
"Lower Nass","Nass","Seq",15236.53973,8555.90494,3437.35742,34735.44307,NA,NA
"Lower Skeena","Skeena","Seq",7762.66885,7042.08902,4659.51172,11975.64844,NA,NA
"Middle Skeena","Skeena","Seq",28950.00011,25767.50267,17317.58383,44932.21759,NA,NA
"Nass Aggregate","Nass","Seq",38545.51749,35664.85495,27613.76617,53552.8309,NA,NA
"Skeena Aggregate","Skeena","Seq",153108.49425,142071.17414,93815.7954,229415.74122,NA,NA
"Upper Nass","Nass","Seq",31898.68539,29576.33202,22318.49746,44616.56829,NA,NA
"Upper Skeena","Skeena","Seq",15391.3048,11774.83909,6570.25802,29338.14383,NA,NA
"Zymoetz","Skeena","Seq",5614.7653,4979.80683,3193.34865,8983.18151,NA,NA
"Kitsumkalum","Skeena","Sgen",3751.3835,3218.62773,1295.32392,6887.7832,NA,NA
"Large Lakes","Skeena","Sgen",14788.25194,12841.74769,5811.53516,26648.87261,NA,NA
"Lower Nass","Nass","Sgen",3212.4262,2060.7919,586.58639,7631.99085,NA,NA
"Lower Skeena","Skeena","Sgen",2185.8674,1991.80602,1000.45522,3637.14001,NA,NA
"Middle Skeena","Skeena","Sgen",5960.68699,5091.63877,2293.56055,10790.58717,NA,NA
"Nass Aggregate","Nass","Sgen",8527.35426,7548.42705,3630.96835,14771.00833,NA,NA
"Skeena Aggregate","Skeena","Sgen",34992.44131,31925.92682,14510.69514,60021.21911,NA,NA
"Upper Nass","Nass","Sgen",7411.52324,6685.11442,3164.45613,12640.77975,NA,NA
"Upper Skeena","Skeena","Sgen",2790.34233,2018.22807,692.15423,6106.42552,NA,NA
"Zymoetz","Skeena","Sgen",1533.73911,1325.9016,672.7757,2711.07156,NA,NA
"Kitsumkalum","Skeena","Smsr",20688.78653,16689.65274,8381.26596,38787.29408,NA,NA
"Large Lakes","Skeena","Smsr",77887.12121,66337.6833,33428.26982,140014.21996,NA,NA
"Lower Nass","Nass","Smsr",19673.20581,12765.78397,3484.78866,46397.41825,NA,NA
"Lower Skeena","Skeena","Smsr",12505.64376,11034.2574,5240.51958,21746.57552,NA,NA
"Middle Skeena","Skeena","Smsr",31640.65166,26616.66102,13517.30431,56642.11914,NA,NA
"Nass Aggregate","Nass","Smsr",45668.49055,38860.38834,21365.63987,79674.20956,NA,NA
"Skeena Aggregate","Skeena","Smsr",184555.63529,164723.87706,80959.51779,318636.40383,NA,NA
"Upper Nass","Nass","Smsr",39509.40204,34246.97545,18100.19929,68629.32505,NA,NA
"Upper Skeena","Skeena","Smsr",15701.86125,11124.71039,4765.43415,33932.30452,NA,NA
"Zymoetz","Skeena","Smsr",8827.95598,7328.92338,3616.19591,16436.90373,NA,NA
