"Year","a4","a5","a6"
1994,10.8958837772397,57.6271186440678,31.4769975786925
1995,56.231884057971,23.4782608695652,20.2898550724638
1996,34.5762711864407,58.9830508474576,6.44067796610169
1997,39.7297297297297,50.2702702702703,10
1998,17.7285318559557,72.0221606648199,10.2493074792244
1999,33.7995337995338,46.8531468531469,19.3473193473193
2000,47.5369458128079,44.8275862068966,7.63546798029557
2001,17.7504393673111,73.4622144112478,8.78734622144112
2002,44.8905109489051,44.5255474452555,10.5839416058394
2003,24.7641509433962,68.6320754716981,6.60377358490566
2004,50.5226480836237,29.2682926829268,20.2090592334495
2005,29.3604651162791,62.2093023255814,8.43023255813953
2006,42.1597633136095,46.4497041420118,11.3905325443787
2007,14.1073657927591,78.0274656679151,7.86516853932584
2008,51.6693163751987,41.4944356120827,6.8362480127186
2009,27.247191011236,67.9775280898876,4.7752808988764
2010,40.3785488958991,47.6340694006309,11.98738170347
2011,43.018018018018,52.2522522522522,4.72972972972973
2012,27.4764150943396,64.9764150943396,7.54716981132075
2013,58.719646799117,35.3200883002208,5.96026490066225
2014,57.2847682119205,42.0529801324503,0.662251655629139
2015,40.2612826603325,57.7197149643706,2.01900237529691
2016,24.9190938511327,67.6375404530744,7.44336569579288
2017,76.4285714285714,20.7142857142857,2.85714285714286
2018,55.7692307692308,41.9230769230769,2.30769230769231
2019,47.2279260780287,51.5400410677618,1.23203285420945
2020,62.0512820512821,37.4358974358974,0.512820512820513
2021,36.7219917012448,62.655601659751,0.622406639004149
2022,59.6946564885496,36.793893129771,3.51145038167939
2023,56.745182012848,42.8265524625268,0.428265524625268
2024,61.8157543391188,37.3831775700935,0.801068090787717
2025,41.6826003824092,54.4933078393882,3.82409177820268
